,PC1,PC2,CLUSTERS
65201,13.37290863075891,-0.7241021731214253,D
43876,-19.72052883738504,-0.03431261710516898,E
92636,32.38699158088319,-0.5265474346090228,D
54169,-1.6354812732265767,-1.6562058635457098,B
81546,3.366430825965293,-1.3839435223807568,B
7392,-20.795506743609682,3.370540296064768,A
46613,-14.688413186430743,-1.4588400549030909,E
88640,31.37322990986464,-0.6730888081634615,D
93569,0.3550541998461341,-1.146255877138244,B
5231,-16.71922323087545,0.0661663435840631,E
25573,-6.775346662215086,1.962742331636342,B
54315,19.37497458716572,-0.4838058159686579,D
20991,2.276815771515799,1.7385954025782042,B
87132,-5.617063608161769,-0.856353096409111,B
49627,13.347196454488438,-0.8473703208682158,D
72998,2.3977399651463203,-0.7795343326889358,B
17104,-16.678531109531015,-1.2569257918889785,E
14338,-17.720699229201863,1.364525381618256,E
28601,-20.696952112956566,-1.0243135955567955,E
47929,2.3170592305699254,-0.904284844214435,B
16882,-20.735544938515588,0.9244461338303488,A
36355,4.305362070322481,-0.6902161236140673,B
20625,-18.69059519643128,-0.9669113845194748,E
67317,1.4131446470833635,-1.2981866062342697,B
63607,37.37283393158552,0.100658367634539,C
59823,47.35223764479937,0.9960465508399172,C
39501,-16.717210488961133,0.07006345353068226,E
28968,-20.76708613421642,2.4479942169205287,A
4796,-17.701690288628964,-1.0335275910778405,E
87112,-1.6428798732451713,-0.8662978710027398,B
35275,-20.705571489009195,-0.43211091222085946,E
61507,21.372380045587757,-0.3994533124098747,D
81077,21.370015665668667,-0.3669677552786058,D
64116,5.516174743423303,-2.1176954533233037,B
47801,-20.70176628679127,-1.22543494181928,E
34759,-19.742784585626147,1.02715155145534,E
19198,-20.671835853400435,-2.4166699079829566,E
41634,-19.78813130548396,2.96699836988989,A
23833,-12.695879096015622,1.060850880290604,E
30982,-20.738378020909245,1.1079444964065737,A
52411,-10.617236793229786,-2.3217049490975565,B
58900,-1.6296096324715073,-0.8530031896002367,B
85536,17.37993155516819,-0.3570966934815503,D
77262,69.40292012242182,0.3815060400004463,C
10670,-11.686783173552243,-0.26900936101938244,E
69289,1.3771917233985562,-0.7398780207083991,B
32382,-20.66073523121997,-3.0906793335585054,E
97925,102.60917212760307,0.16231452079934935,C
17779,-8.677132862285863,-0.2793202596728969,B
34894,-20.76667963508702,1.980246303902784,A
59998,20.43756240295676,-1.3077473935851105,D
74894,4.3597674246066305,-1.0212595568191365,B
61841,3.3496106882350123,-0.11985965100174413,B
87463,7.373640885716228,-0.10995545960107798,B
13683,-19.76233159593654,2.3297068265891756,A
22145,-18.711467852162414,-0.31062159811743867,E
10559,-20.726557006075502,0.7041125338922096,A
28323,-20.784906708264405,2.6290824720082737,A
41224,-20.797323375505986,3.3960957110898633,A
39809,-20.733437082360165,0.042945068139504106,E
48057,-20.71347186113329,-0.6433877793768001,E
55366,6.383621636355358,-1.3569762214051213,B
9310,-19.77917053372179,3.1744047495547236,A
87923,13.362998783091248,-0.8290569564750255,D
94710,7.358905621227789,-0.34532420414931225,B
16650,-20.77810519523212,2.8850626376713047,A
9959,-20.709040570216146,0.12650929567650682,E
31405,-16.71876830737071,-0.2963145500908191,E
10212,-20.762025013203992,2.1929983973012117,A
93416,63.47810544511129,0.18770356160354354,C
40455,-10.76468348447555,1.7800151420256605,B
85102,4.385757515253154,-0.5910554661785804,B
25969,-20.724509923197516,0.11401156821614965,E
48365,-20.72747024580752,-0.10854146950121203,E
41,-19.67381283440038,-1.8925399621384158,E
87063,13.34089877650132,0.3652046434939302,D
27907,-0.6899261486308778,-0.725708042412751,B
26144,6.319897259321121,-0.11094359674297764,B
56674,44.38316274511581,0.5318523666006371,C
94522,-3.6390213048742495,-1.6859226684387154,B
